0.0	50.2	82.4	32.8	33.2	35.4	86.9	79.1	43.2	66.2	
50.2	0.0	72.6	72.5	17.1	80.2	39.9	68.9	43.4	43.0	
82.4	72.6	0.0	71.7	70.9	82.5	67.9	3.8	39.7	30.7	
32.8	72.5	71.7	0.0	56.6	11.0	101.3	69.4	42.1	68.6	
33.2	17.1	70.9	56.6	0.0	63.7	54.7	67.2	34.9	45.0	
35.4	80.2	82.5	11.0	63.7	0.0	111.0	80.3	52.8	79.4	
86.9	39.9	67.9	101.3	54.7	111.0	0.0	65.1	61.4	40.8	
79.1	68.9	3.8	69.4	67.2	80.3	65.1	0.0	36.3	27.2	
43.2	43.4	39.7	42.1	34.9	52.8	61.4	36.3	0.0	26.6	
66.2	43.0	30.7	68.6	45.0	79.4	40.8	27.2	26.6	0.0	
